iter	Passed	Remaining
0	143	143846
1	145	72811
2	148	49232
3	150	37373
4	152	30254
5	153	25497
6	155	22119
7	157	19582
8	159	17579
9	161	15979
10	163	14677
11	164	13580
12	166	12676
13	168	11895
14	170	11214
15	172	10628
16	174	10090
17	176	9652
18	178	9233
19	180	8861
20	183	8535
21	185	8233
22	186	7938
23	188	7671
24	190	7423
25	192	7197
26	193	6986
27	195	6792
28	197	6615
29	199	6452
30	201	6295
31	203	6148
32	205	6012
33	206	5879
34	208	5755
35	210	5645
36	212	5534
37	214	5431
38	216	5332
39	218	5232
40	219	5140
41	221	5054
42	223	4967
43	224	4887
44	226	4815
45	228	4744
46	230	4675
47	232	4607
48	234	4547
49	235	4480
50	237	4420
51	239	4360
52	241	4309
53	242	4253
54	244	4199
55	246	4149
56	247	4101
57	249	4056
58	251	4015
59	253	3971
60	255	3932
61	257	3889
62	258	3850
63	260	3815
64	262	3777
65	264	3740
66	266	3704
67	266	3657
68	268	3624
69	270	3598
70	272	3566
71	274	3533
72	275	3501
73	277	3472
74	279	3441
75	280	3412
76	282	3383
77	283	3355
78	285	3328
79	287	3302
80	288	3273
81	290	3248
82	291	3221
83	293	3196
84	294	3167
85	295	3143
86	296	3115
87	298	3096
88	300	3076
89	302	3057
90	303	3036
91	305	3015
92	306	2994
93	308	2973
94	310	2953
95	311	2933
96	313	2913
97	318	2932
98	320	2918
99	322	2903
100	324	2886
101	325	2862
102	326	2843
103	328	2827
104	329	2810
105	331	2792
106	332	2776
107	334	2760
108	335	2745
109	337	2729
110	338	2713
111	340	2697
112	341	2682
113	343	2668
114	344	2653
115	346	2637
116	347	2624
117	349	2611
118	350	2595
119	352	2581
120	353	2567
121	355	2555
122	355	2536
123	357	2525
124	359	2513
125	360	2501
126	362	2491
127	363	2477
128	365	2465
129	366	2455
130	368	2444
131	370	2434
132	371	2423
133	373	2413
134	375	2403
135	376	2392
136	378	2382
137	379	2370
138	381	2361
139	382	2350
140	384	2340
141	385	2330
142	387	2319
143	388	2309
144	390	2300
145	391	2291
146	393	2282
147	395	2274
148	396	2266
149	398	2258
150	399	2248
151	401	2240
152	403	2231
153	404	2224
154	406	2215
155	407	2207
156	409	2199
157	411	2192
158	412	2184
159	414	2175
160	415	2167
161	417	2158
162	418	2150
163	420	2143
164	422	2136
165	423	2129
166	425	2122
167	426	2114
168	428	2106
169	429	2098
170	431	2092
171	433	2084
172	434	2077
173	436	2071
174	438	2064
175	439	2058
176	441	2051
177	442	2044
178	444	2037
179	445	2029
180	446	2020
181	447	2013
182	449	2006
183	451	2000
184	452	1994
185	454	1988
186	455	1981
187	457	1974
188	458	1968
189	460	1962
190	461	1956
191	463	1950
192	465	1944
193	466	1939
194	468	1934
195	470	1928
196	471	1923
197	473	1916
198	474	1910
199	476	1904
200	478	1900
201	479	1894
202	481	1888
203	482	1883
204	484	1877
205	485	1872
206	487	1866
207	488	1860
208	490	1854
209	491	1848
210	492	1843
211	494	1837
212	495	1832
213	497	1827
214	499	1822
215	500	1817
216	502	1812
217	503	1807
218	505	1802
219	507	1798
220	509	1794
221	510	1789
222	512	1784
223	513	1779
224	515	1775
225	516	1770
226	518	1765
227	520	1761
228	521	1756
229	523	1751
230	524	1746
231	526	1742
232	528	1738
233	529	1733
234	531	1728
235	532	1724
236	534	1719
237	535	1715
238	537	1710
239	538	1706
240	540	1701
241	541	1696
242	543	1692
243	544	1688
244	546	1683
245	547	1679
246	549	1674
247	551	1671
248	552	1666
249	554	1662
250	555	1658
251	557	1654
252	558	1649
253	560	1645
254	561	1641
255	563	1637
256	564	1633
257	566	1629
258	568	1625
259	569	1621
260	571	1616
261	572	1612
262	573	1608
263	575	1603
264	576	1599
265	578	1594
266	579	1590
267	580	1586
268	582	1582
269	583	1578
270	585	1574
271	586	1570
272	588	1566
273	589	1562
274	591	1559
275	592	1554
276	594	1551
277	595	1547
278	597	1543
279	599	1540
280	600	1536
281	602	1533
282	603	1529
283	605	1526
284	606	1522
285	608	1518
286	609	1515
287	611	1511
288	612	1507
289	614	1503
290	615	1500
291	617	1496
292	618	1493
293	620	1490
294	622	1486
295	623	1483
296	625	1480
297	626	1476
298	628	1473
299	629	1469
300	631	1465
301	632	1462
302	634	1458
303	635	1455
304	637	1451
305	638	1448
306	640	1445
307	641	1441
308	643	1438
309	644	1434
310	646	1431
311	647	1428
312	649	1425
313	650	1422
314	652	1419
315	654	1416
316	655	1413
317	657	1409
318	659	1406
319	661	1404
320	662	1402
321	664	1399
322	666	1397
323	668	1394
324	670	1391
325	671	1388
326	673	1385
327	674	1382
328	676	1379
329	678	1376
330	679	1373
331	681	1370
332	682	1367
333	684	1364
334	685	1361
335	687	1358
336	688	1355
337	690	1352
338	691	1349
339	693	1346
340	695	1343
341	696	1340
342	698	1337
343	699	1334
344	701	1331
345	703	1328
346	704	1326
347	706	1323
348	708	1321
349	710	1318
350	711	1316
351	713	1313
352	715	1311
353	717	1308
354	718	1305
355	720	1302
356	722	1301
357	724	1299
358	725	1296
359	727	1293
360	729	1290
361	730	1287
362	732	1285
363	734	1282
364	736	1280
365	737	1278
366	739	1276
367	741	1273
368	743	1271
369	745	1269
370	747	1266
371	749	1264
372	750	1261
373	752	1259
374	753	1256
375	755	1254
376	757	1251
377	758	1248
378	760	1245
379	761	1243
380	763	1240
381	765	1238
382	767	1235
383	768	1232
384	770	1230
385	771	1227
386	772	1224
387	774	1221
388	775	1218
389	777	1215
390	778	1212
391	780	1210
392	781	1207
393	783	1204
394	784	1201
395	786	1198
